ID,booking-prediction,booking-predictor-bin,guest-value,guest-value-bin
18158,57,8,19.31,10
464631,74.43,8,5.16,8
900722,36.77,4,24.69,12
727498,82.72,13,20.65,10
786212,78,12,17.65,9
3254,97.07,16,26.81,13
487150,73.71,11,18.19,9
306051,67.62,10,19.56,10
746112,42.32,5,15.17,8
45682,69.37,10,16.84,8
277315,60.46,9,21.68,11
841537,55.13,8,18.15,9
502156,67.05,10,16.94,8
890614,71.84,11,14.96,7
636968,78.62,12,5.97,3
483380,59.62,8,10.13,5
376177,77.08,12,10.13,5
106317,69.94,10,23.63,12
304936,70.95,11,31.65,16
895405,87.15,14,18.81,9
625695,98.99,16,21.51,11
507343,67.62,10,1.55,1
941136,64.33,9,27.8,14
997794,97.84,16,13.92,7
569542,56.83,8,24.71,12
625908,79.4,12,28.45,14
387711,29.86,2,13.37,7
143616,78.12,12,24.69,12
140929,41.8,5,23.96,12
434106,65.31,10,23.49,12
676167,58.79,8,31.22,16
212796,55.11,8,20.13,10
703971,68.84,10,15.95,8
955372,79.73,12,10.98,5
583987,84,13,25.35,13
629091,85.46,14,28.54,14
501649,42.17,5,18.43,9
116506,71.96,11,22.99,11
892143,89.61,14,16.36,8
506516,71.86,11,9.92,5
878682,62.92,9,7.7,4
886159,61.93,9,24.62,12
190882,64.8,9,23.09,12
564813,82.17,13,33.4,17
227726,91.46,15,4.33,2
521926,48.23,6,27.89,14
47157,53.24,7,25.12,13
84018,60.15,9,12.83,6
590654,82.4,13,19.58,10
817858,57.55,8,14.79,7
296837,55.81,8,27.45,14
584074,52.91,7,24.62,12
540717,42.71,5,22.66,11
845510,90.15,15,22.42,11
388004,82.75,13,19.55,10
617278,75.87,12,17.35,9
625003,74.66,11,20.87,10
585385,79,12,16.08,8
455392,72.93,11,30.51,15
353336,43.98,5,20.73,10
943257,92.44,15,8.83,4
541271,75.34,12,20.42,10
545854,57.43,8,35.07,18
281872,73.33,11,23.75,12
956315,57.49,8,29.13,15
234335,42.92,5,17.63,9
467554,56.07,8,7.88,4
796957,50.58,7,26.84,13
143749,81.26,13,15.25,8
882317,72.54,11,25.04,13
30354,79.05,12,15.71,8
9852,73.5,11,20.25,10
556409,83.1,13,24.03,12
330699,72.15,11,35.51,18
67656,90,15,24.03,12
528639,72.01,11,20.93,10
391402,31.58,3,11.19,6
217269,46.39,6,10.32,5
926743,78.2,12,20.11,10
165554,87.25,14,25.16,13
501621,62.92,9,25.81,13
147104,66.11,10,26.71,13
448801,85.04,14,11.04,6
624643,69.21,10,17.95,9
178608,66.31,10,6.68,3
186767,76.32,12,24.13,12
136687,56.2,8,14.89,7
232281,47.53,6,9.67,5
269615,48.45,6,13.53,7
694032,75.97,12,15.67,8
756382,61.89,9,22.35,11
224392,61.82,9,23.8,12
46701,58.89,8,22.07,11
260341,54.14,7,15.74,8
506835,78.12,12,21.05,11
928157,86.67,14,8.22,4
925723,67.18,10,25.2,13
195545,65.53,10,9.95,5
867604,66.45,10,24.24,12
189632,86.65,14,7.29,4
731420,66.73,10,22.93,11
795977,84.76,13,30.66,15
689226,71.85,11,20,10
627999,83.79,13,21.24,11
660488,63.01,9,20.27,10
147386,60.96,9,29.16,15
992922,54.65,7,11.52,6
426660,52.23,7,31.68,16
626287,57.31,8,16.3,8
81399,68.17,10,18.03,9
12940,70.48,11,18.66,9
49672,81.01,13,17.36,9
350735,86.22,14,17.54,9
656152,69.6,10,26.11,13
989785,69.9,10,16.91,8
875778,56.72,8,24.98,12
818999,92.72,15,26.09,13
393745,71.12,11,16.11,8
795308,63.64,9,28.47,14
986790,72.89,11,29.35,15
209182,54.96,7,15.36,8
741395,58.92,8,27.23,14
218030,73.27,11,30.93,15
247645,99.42,16,8.41,4
60461,80.01,13,30.83,15
697148,71.85,11,25.5,13
931674,81.13,13,7.02,4
700806,71.16,11,24.53,12
987942,69.63,10,14.78,7
300305,61.85,9,24.2,12
688253,62.03,9,16.42,8
707900,84.89,13,26.29,13
620069,83.11,13,25.12,13
466850,90.82,15,23.13,12
602161,85,14,23.6,12
788281,68.43,10,19.19,10
647197,64.51,9,21.24,11
167557,91.52,15,22.3,11
636151,67.84,10,11.38,6
359496,92.39,15,15.15,8
838245,73.51,11,11.94,6
615738,36.48,4,22.05,11
814630,50.52,7,3.38,2
720462,73.67,11,15.77,8
494547,85.81,14,19.92,10
734070,62.51,9,16.14,8
406523,72.89,11,14.21,7
533298,66.75,10,3.81,2
542621,68.42,10,21.98,11
450300,71.03,11,18.17,9
232187,75.5,12,25.54,13
911425,71.86,11,1,1
799817,78.61,12,14.51,7
589335,91.12,15,15.64,8
310367,82.46,13,35.17,18
339759,64.97,9,12.64,6
102285,79.31,12,22.45,11
368241,96.03,16,14.62,7
942740,74.17,11,21.03,11
871424,76.14,12,14.59,7
768763,67.77,10,17.25,9
899724,89.72,14,32.77,16
378947,50.68,7,41.91,20
120835,80.99,13,20.06,10
137146,65.51,10,20.3,10
691892,85.3,14,28,14
371578,61.39,9,21.18,11
771225,60.39,9,19.19,10
448817,32.92,3,16.18,8
318839,54.55,7,8.47,4
798778,57.88,8,9.81,5
322254,59.62,8,32.49,16
943916,61.14,9,25.73,13
23059,75.84,12,14.42,7
622899,72.04,11,18.87,9
647063,58.72,8,26.61,13
752843,82.8,13,11.3,6
376400,64.69,9,25.38,13
95416,61.25,9,14.41,7
525476,65.9,10,26.12,13
241220,59.3,8,22.13,11
438251,66.37,10,29.64,15
811899,78.88,12,34.11,17
850289,73.48,11,20.59,10
203340,62.18,9,23.57,12
677087,74.74,11,22.14,11
559161,58.7,8,22.51,11
326144,58.05,8,29.33,15
275955,80.08,13,10.03,5
923584,71.05,11,19.15,10
943234,76.18,12,27.34,14
159084,62.84,9,24.54,12
412679,70.78,11,29.6,15
938620,91.71,15,13.85,7
837507,53.36,7,21.89,11
762179,52.5,7,24.46,12
875127,58.32,8,25.28,13
877306,52.9,7,26.16,13
793514,47.46,6,33.05,17
468165,82.12,13,12.3,6
408158,62.61,9,11.58,6
697481,71.45,11,16.33,8
602816,72.76,11,10.15,5
881450,64.71,9,22.99,11
52492,86.91,14,25.71,13
15967,61.37,9,29.93,15
545494,88.85,14,20.69,10
572,59.44,8,21.35,11
783776,76.67,12,8.72,4
127658,59.82,8,22.16,11
920123,44,5,21.8,11
125782,82.99,13,19.92,10
40370,47.82,6,12.17,6
188375,71.83,11,21.05,11
535354,33,3,14.48,7
368273,76.62,12,20.7,10
707667,63.15,9,19.34,10
446709,57.47,8,25.58,13
237384,52.15,7,17.99,9
895653,75.46,12,22.17,11
645037,51.97,7,34.43,17
150203,88.42,14,9.77,5
560565,94.22,15,21.04,11
728405,73.72,11,17.48,9
619213,72.86,11,12.95,6
306514,58.58,8,26.34,13
729714,73.41,11,17.17,9
657178,75.1,12,35.65,18
366575,51.4,7,10.77,5
727167,78.03,12,24.97,12
231416,74.74,11,23.55,12
619415,80.29,13,6.19,3
242981,76.18,12,17.4,9
289536,63.48,9,22.28,11
992705,82.11,13,22.69,11
612369,80.51,13,19.04,10
244549,64.01,9,12.08,6
398167,73.76,11,11.6,6
195744,62.14,9,21.97,11
51320,78.75,12,20.23,10
144001,61.54,9,2.62,1
596557,66.44,10,22.26,11
785306,60.29,9,22.55,11
752868,91.02,15,23.21,12
300357,71.03,11,8.94,4
653119,75.14,12,18.72,9
468282,88.01,14,23.01,12
609552,70.06,11,11.76,6
984424,65.07,10,25.13,13
972056,57.42,8,30.45,15
355086,31.95,3,17.02,9
506770,82.04,13,3.05,2
291617,58.34,8,18.45,9
595274,63.69,9,18.57,9
23733,66.7,10,17.86,9
717387,77.37,12,18.79,9
309468,39.68,4,36.2,18
222805,52.92,7,19.55,10
701047,81.32,13,17.56,9
796014,76.22,12,16.81,8
405684,33.72,3,15.95,8
618760,71.31,11,19.62,10
79286,56.08,8,16.69,8
852653,60.95,9,15.35,8
411828,75.85,12,14.7,7
691252,53.72,7,28.84,14
810533,67.07,10,29.67,15
933699,74.7,11,22.9,11
309525,78.9,12,29.24,15
480483,71.6,11,21.36,11
308787,49.37,6,30.78,15
360563,56.02,8,10.91,5
300418,67.35,10,28.36,14
274261,61.48,9,21.79,11
666194,48.82,6,21.29,11
374879,46.18,6,16.91,8
588789,60.07,9,16.23,8
808918,51.23,7,28.18,14
224252,50.19,7,21.21,11
744293,49.71,6,32.66,16
498377,62.99,9,30.03,15
556649,77.33,12,18.21,9
998880,53.77,7,31.71,16
799478,76.5,12,25.81,13
771820,48.9,6,19.46,10
522638,77.73,12,9.6,5
453093,66.32,10,28.87,14
817071,89.84,14,17.93,9
915488,49.13,6,19.45,10
187683,41.95,5,18.69,9
639519,93.01,15,26.51,13
585262,91.38,15,25.25,13
490987,57.33,8,23.58,12
660893,70.24,11,13.28,7
947884,65.01,10,30.22,15
514587,75.18,12,7.47,4
211604,78.62,12,19.37,10
356606,21.33,1,15.43,8
183204,57.26,8,10.72,5
820916,55.66,8,26.44,13
534071,76.8,12,15.88,8
633544,74.1,11,27.89,14
52821,73.77,11,19.38,10
934266,95.65,16,36.88,18
47750,40.91,5,21.27,11
378397,75.63,12,18.05,9
709846,20,1,20.15,10
498949,65.86,10,11.08,6
660282,69.73,10,21.66,11
140831,65.23,10,27.43,14
423170,68.47,10,28.3,14
236686,60.29,9,30.85,15
496892,63.32,9,26.04,13
28123,56.09,8,22.79,11
75456,70.63,11,19.01,10
521861,70.8,11,24.82,12
108758,86.05,14,17.74,9
245596,76.79,12,13.88,7
722894,62.47,9,7.56,4
178982,87.36,14,11.78,6
279090,76.54,12,14.15,7
859846,74.41,11,8.92,4
264447,74.14,11,19.37,10
313890,51.15,7,8.57,4
495019,70.38,11,19.3,10
208267,59.88,8,23.88,12
761531,70.57,11,29.2,15
91027,50.55,7,14.22,7
247649,83.14,13,27.61,14
773547,82.26,13,39.11,20
434191,41.54,5,28.63,14
57050,73,11,13.83,7
20295,69.22,10,19.41,10
139525,79.78,12,16.3,8
672016,69.44,10,25.24,13
632161,47.63,6,7.24,4
27205,75.46,12,19.62,10
493187,28.21,2,23.32,12
558905,52.31,7,6.58,3
947925,86.89,14,18.85,9
249180,84.21,13,12.42,6
380163,55.94,8,14.74,7
854279,74.65,11,13.33,7
804600,82.32,13,23.69,12
952201,71.57,11,30.93,15
586139,65.43,10,32.4,16
699932,54.45,7,35.95,18
794665,57.27,8,25.11,13
185041,83.24,13,26.05,13
27752,72.96,11,31.64,16
87357,78.01,12,18.23,9
56001,69.66,10,32.91,16
601349,68.32,10,21.53,11
765893,58.13,8,27.34,14
140404,87.85,14,22.96,11
719659,50.97,7,13.08,7
900318,75.51,12,15.95,8
85523,70.51,11,27.68,14
609251,70.09,11,17.9,9
74251,67.83,10,24.95,12
636587,58,8,19.71,10
727583,57.72,8,18.82,9
392320,64.74,9,10.43,5
69818,48.41,6,8.89,4
401202,74.7,11,15.4,8
301043,91.82,15,19.43,10
111279,55.54,8,14.87,7
334328,62.71,9,14.45,7
768161,56.47,8,7.76,4
730086,50.59,7,19.22,10
524318,69.41,10,33.84,17
885070,87.45,14,11.72,6
117968,57.35,8,28.35,14
438871,48.08,6,32.05,16
975058,48.82,6,29.93,15
983790,55.57,8,15.64,8
779931,67.22,10,1.4,1
106015,55.08,8,21.95,11
586554,53,7,26.58,13
382390,38.11,4,34.25,17
645460,71.04,11,19.69,10
280522,52.61,7,23,12
966226,75.55,12,19.17,10
958546,72.36,11,16.98,8
442369,69.48,10,16.2,8
835707,36.7,4,19.75,10
691532,63.04,9,20.9,10
461757,54.76,7,22.84,11
61225,82.77,13,24.42,12
673738,85.48,14,17.06,9
85705,41.8,5,19.78,10
474143,77.15,12,25.02,13
105463,46.49,6,13.5,7
478477,71.36,11,19.48,10
589576,51.25,7,24.37,12
301568,49.22,6,7.59,4
442891,94.24,15,28.59,14
809960,71.22,11,27.19,14
361239,82.85,13,21.51,11
30311,65.77,10,34.27,17
995601,62.49,9,13.15,7
770005,91.45,15,22.37,11
636404,79.34,12,10.57,5
537820,73.01,11,43.65,20
474729,72.42,11,23.63,12
234963,60.52,9,23.04,12
915620,66.37,10,29.93,15
266158,70.43,11,22.32,11
837773,62.83,9,21.57,11
246459,74.73,11,15.49,8
290671,75.4,12,26.67,13
196477,62.98,9,16.44,8
634440,60.96,9,29.9,15
165313,72.74,11,37.79,19
499584,68.97,10,1.11,1
224666,60.39,9,36.08,18
698578,64.01,9,41.74,20
341898,75.84,12,36.74,18
560984,99.58,16,16.45,8
461392,63.25,9,15.65,8
721692,73.6,11,20.66,10
950881,63.31,9,25.03,13
832678,57.32,8,23.22,12
807631,70.99,11,26.56,13
242144,80.2,13,15.54,8
684980,93.35,15,25.26,13
705475,75.86,12,24.57,12
869783,47.77,6,10.28,5
532987,55.32,8,20.97,10
382095,55.63,8,25.42,13
817349,54.27,7,18.21,9
137199,62.15,9,17.72,9
604648,77.77,12,21.62,11
127075,69.32,10,31.87,16
738189,70.4,11,5.89,3
533824,77.78,12,23.76,12
346714,56.4,8,14.14,7
588280,67.65,10,32.23,16
910728,81.42,13,15.88,8
723997,81.08,13,19.5,10
325862,69.72,10,28.58,14
84256,60.14,9,22.79,11
200229,72.26,11,10.48,5
475909,66.11,10,10.88,5
529158,91.26,15,28.19,14
307498,85.62,14,10.8,5
248767,54.03,7,16.93,8
80048,54.68,7,5.22,3
657243,57.17,8,13.76,7
887849,63.52,9,10.91,5
231057,65.94,10,5.83,3
686076,88.51,14,16.8,8
609150,69.02,10,15.51,8
711197,44.43,5,27.3,14
434480,55.9,8,28.94,14
396648,69.64,10,18.76,9
657063,65.44,10,21.31,11
36184,48.34,6,6.58,3
941429,72.56,11,27.84,14
84039,58.94,8,8.81,4
280195,81.65,13,1,1
631059,60.53,9,23.75,12
816916,76.18,12,18.4,9
457359,74.22,11,17.75,9
757258,77.33,12,21.15,11
220356,62.31,9,16.05,8
540714,80.71,13,35.18,18
859419,77.66,12,20.94,10
12288,56.98,8,18.44,9
417577,74.11,11,25.23,13
378308,40.08,5,38.4,19
428966,83.54,13,17.75,9
532404,46.82,6,7.03,4
563628,41.66,5,26.53,13
685274,62.55,9,31.94,16
180890,74.26,11,23.21,12
422482,62.69,9,25.01,13
193339,73.67,11,3.28,2
411375,84.32,13,26.71,13
44562,65.64,10,22.2,11
558043,79.76,12,31.9,16
986910,81.57,13,16.85,8
520387,42.03,5,10.43,5
231289,71.74,11,33.66,17
267824,70.75,11,25.67,13
873412,65.11,10,14.59,7
357139,84.55,13,16.77,8
485941,54.32,7,20.43,10
307079,61.83,9,13.96,7
317926,67.39,10,16.47,8
297175,55.31,8,15.57,8
666211,73.21,11,18.2,9
662406,57.66,8,12.02,6
958214,35.7,4,33.4,17
443256,80.6,13,40,20
794236,70.19,11,33.34,17
141833,76.9,12,29.02,15
643904,82.11,13,13.39,7
945525,77.12,12,14.3,7
483458,75.08,12,22.52,11
882681,70.79,11,20.88,10
888724,57.74,8,16.5,8
710,96.85,16,33.35,17
542647,76.74,12,20.41,10
644847,74.19,11,30.5,15
287781,66.86,10,7.41,4
454644,85.51,14,14.79,7
741840,97.21,16,22.42,11
24882,96.92,16,19.09,10
848473,75.34,12,15.86,8
519011,43.39,5,15.76,8
744309,72.91,11,32.05,16
544092,90.68,15,30.97,15
469004,63.08,9,31.31,16
4285,90.7,15,25.11,13
894155,76.44,12,24.98,12
521536,75.7,12,20.85,10
764180,59.36,8,25.49,13
605892,61.44,9,14.3,7
867777,75.02,12,23.23,12
90130,81.35,13,21.11,11
430831,52.2,7,23.79,12
512702,52.92,7,29.34,15
593480,49.5,6,16.82,8
75791,66.54,10,2.81,1
568489,77.09,12,9.27,5
753546,73.96,11,13.01,7
239912,50.15,7,12.44,6
336237,64.24,9,19.83,10
150282,77.32,12,25.8,13
587397,57.28,8,28.19,14
758628,70.05,11,9.79,5
463980,62.1,9,23.52,12
969598,78.12,12,19.38,10
367592,53.21,7,17.84,9
345341,71.9,11,26.2,13
282249,82.83,13,15.96,8
173094,41.32,5,16.54,8
164904,54.01,7,10.62,5
29671,77.34,12,25.1,13
761023,77.04,12,20.05,10
73014,77.83,12,11.85,6
756362,58.29,8,11.64,6
837595,83.39,13,22.82,11
408627,87.26,14,28.49,14
466763,89.75,14,20.57,10
331115,95.27,16,20.74,10
154561,70.51,11,18.46,9
559451,72.84,11,30.21,15
695273,91.95,15,23.21,12
334394,46.57,6,11.24,6
432052,72.17,11,26.02,13
20390,45.42,6,27.51,14
328440,58.82,8,31.26,16
112295,55.96,8,20.81,10
567157,72.63,11,25.48,13
574105,90.24,15,17.09,9
493492,81.72,13,17.39,9
641294,70.33,11,21.43,11
83463,81.2,13,26.65,13
459155,87.89,14,23.94,12
84913,68.22,10,19,10
436763,87.65,14,16.82,8
868968,69.02,10,30.41,15
620226,81.19,13,20.38,10
862655,60.66,9,21.25,11
359383,73.23,11,26.05,13
569962,56.3,8,14.39,7
523739,50.63,7,9.28,5
250961,58.11,8,19.19,10
803096,61.91,9,29.99,15
301041,38.18,4,26.28,13
893596,70.83,11,16.09,8
633775,58.34,8,24.12,12
741720,77.81,12,30.54,15
242021,55.31,8,27.14,14
735412,78.93,12,9.41,5
797431,60.65,9,28.79,14
878116,70.53,11,20.07,10
416722,66.99,10,30.64,15
684173,67.68,10,17.83,9
964710,51.89,7,18.45,9
621985,65.04,10,20.51,10
922805,68.14,10,18.68,9
320145,58.76,8,18.29,9
472464,58.61,8,27.89,14
695355,72.51,11,25.27,13
682563,77.31,12,23.14,12
638639,70.14,11,17.73,9
167448,67.26,10,7.16,4
712291,89.65,14,18.88,9
36963,80.88,13,19.27,10
672685,80.07,13,18.66,9
443158,49.09,6,22.23,11
951592,79.35,12,16.1,8
15209,74.17,11,19.3,10
294814,66.9,10,31.02,16
661682,69.57,10,29.01,15
528911,65.91,10,20.77,10
543889,58.81,8,27.62,14
309086,75.87,12,30.81,15
173932,79.42,12,28.52,14
8991,66.21,10,2.31,1
199967,55.81,8,4.02,2
167653,60.6,9,12.22,6
177266,84.02,13,20.99,10
571200,73.4,11,14.18,7
763086,83.16,13,3.64,2
85873,84.82,13,23.6,12
346971,57.03,8,29.8,15
992680,65.05,10,21.49,11
946044,77.89,12,23.38,12
529055,51.71,7,21.43,11
23087,64.64,9,27.04,14
981171,87.22,14,18.6,9
511419,88.51,14,28.44,14
996044,57.79,8,15.21,8
544407,82.69,13,16.56,8
663367,71.01,11,13.53,7
13634,69.91,10,22.09,11
749723,30,3,15.86,8
931404,57.81,8,21.76,11
233983,40.42,5,19.69,10
527980,85.22,14,36.91,18
923002,58.5,8,15.84,8
638604,29.35,2,22.53,11
74230,52,7,22.2,11
656181,71.98,11,28.6,14
123111,53.99,7,24.59,12
901560,52.2,7,18.44,9
884193,39.92,4,26.05,13
873112,59.12,8,15.94,8
920820,84.91,13,14.24,7
324836,80.92,13,32.74,16
873954,80.98,13,35.57,18
463023,69.63,10,1,1
775372,71.75,11,13.06,7
681150,69.99,10,5.9,3
94849,82.08,13,30.29,15
539303,65.88,10,12.79,6
37541,72.93,11,21.42,11
266153,95.89,16,22.64,11
14207,73.38,11,22.53,11
305192,76.09,12,21.94,11
751598,38.12,4,22.97,11
43116,58.6,8,20.33,10
408525,46.66,6,4.87,2
81095,48.66,6,18.15,9
606020,62.76,9,12.95,6
380978,45,6,25.92,13
568432,78.32,12,21.22,11
943051,70.77,11,20.31,10
732190,60.54,9,17.66,9
184088,53.54,7,23.15,12
99757,52.97,7,21.84,11
195444,80.37,13,14.15,7
398696,53.96,7,33.35,17
956969,82.48,13,11.42,6
573146,83.15,13,40.48,20
829727,74.23,11,19.53,10
306151,89.42,14,18.43,9
233970,64.36,9,22.51,11
304322,65.96,10,19.06,10
453900,83.99,13,17.72,9
680565,53.24,7,20.89,10
169990,39.55,4,27.85,14
246412,58.6,8,11.1,6
167117,58.48,8,25.51,13
283147,74.99,11,18.66,9
477035,68.29,10,26.1,13
838298,61.96,9,9.84,5
172745,66.27,10,11.65,6
946994,64.11,9,23.78,12
555239,85.35,14,24.35,12
620489,35.6,4,30.08,15
826263,66.87,10,16.95,8
556433,71.93,11,21.02,11
165985,69.81,10,18.62,9
272411,68.5,10,23.76,12
188489,62.33,9,24.43,12
922942,68.77,10,29.12,15
343385,80.19,13,19.55,10
728133,66.48,10,30.27,15
609304,60.61,9,15.18,8
449898,66.6,10,15.72,8
888069,65.95,10,26.14,13
814810,44.21,5,26.22,13
861007,52.75,7,21.62,11
338943,62.93,9,26.32,13
693145,55.03,8,23.62,12
967717,58.1,8,26.73,13
749125,55.77,8,29.03,15
453946,59.59,8,29.47,15
772481,58.17,8,17.66,9
533301,57.32,8,31.31,16
503230,56.87,8,11.46,6
396875,73.44,11,26.68,13
407476,65.06,10,12.93,6
713743,59.07,8,14.69,7
20459,79.1,12,18.88,9
759349,20,1,16.1,8
620933,23.03,1,7.94,4
794377,73.54,11,31.18,16
31353,53.25,7,21.57,11
107788,38.52,4,22.58,11
352485,72.55,11,19,10
641003,72.65,11,22.24,11
143756,78.26,12,18.87,9
357804,59.49,8,18.78,9
462596,88.29,14,17.08,9
210103,69.74,10,26.61,13
956273,67.27,10,40.07,20
378355,46.13,6,22.85,11
318608,78.15,12,19.13,10
294600,47.81,6,26.77,13
136887,66.68,10,12.5,6
589666,71.06,11,21.76,11
617954,94.01,15,19.16,10
374495,68.36,10,11.67,6
720544,84.22,13,21.65,11
828654,61.62,9,3.74,2
904253,72.14,11,26.47,13
800216,61.95,9,35.69,18
610676,76.29,12,7.86,4
242927,67.28,10,8.11,4
668932,65.61,10,6.73,3
915530,79.8,12,12.15,6
487888,76.87,12,23.08,12
170018,55.28,8,5.08,3
444093,69.97,10,14.41,7
433395,73.31,11,18.24,9
480494,59.02,8,20.93,10
411915,84.91,13,32.78,16
798192,63.48,9,9.44,5
382039,81.65,13,22.64,11
292300,64.81,9,11.84,6
364625,86.97,14,16.28,8
549457,59.54,8,24.19,12
505740,56.39,8,1,1
26719,52.94,7,23.31,12
59294,70.48,11,22.37,11
515978,57.83,8,10.32,5
785603,85.27,14,14.3,7
381242,63.21,9,15.04,8
720379,54.08,7,14.81,7
872206,73.47,11,26.27,13
586401,66.26,10,34.21,17
162896,63.92,9,23.5,12
159545,58.7,8,12.74,6
617513,39.96,4,30.21,15
130245,96.27,16,22.73,11
970104,67.61,10,29.6,15
589127,57.1,8,22.59,11
120579,82.34,13,16.52,8
521046,59.91,8,24.37,12
474650,46.09,6,26.27,13
958311,95.44,16,27.33,14
92151,80.86,13,23.06,12
844040,81.36,13,27.23,14
336860,68.25,10,14.74,7
855852,55.05,8,1,1
224352,65.03,10,14.58,7
296945,64.91,9,23.69,12
658064,62.8,9,28.43,14
507229,55.98,8,18.67,9
360956,71.8,11,18.72,9
889452,43.89,5,30.19,15
544197,72.49,11,21.75,11
993266,53.36,7,7.23,4
100899,56.42,8,15.19,8
651152,76.35,12,21.6,11
476067,60.18,9,12.51,6
213621,76.26,12,14.13,7
279143,97.52,16,16.88,8
708107,90.22,15,24.86,12
158247,82.13,13,16.98,8
413512,67.59,10,30.03,15
411719,79.74,12,18.9,9
688658,71.52,11,20.65,10
272039,57.44,8,11.74,6
603142,46.58,6,33.6,17
6267,43.21,5,30.03,15
675239,81.96,13,20.28,10
234111,99.65,16,2.97,1
53214,70.53,11,27.47,14
969070,77.53,12,23.61,12
690556,65,10,30.72,15
60397,64.62,9,13.46,7
272199,47.31,6,23.61,12
510155,82.49,13,30.57,15
309781,70.91,11,12.29,6
791874,74.47,11,6.57,3
612299,72.51,11,19.64,10
729722,75.02,12,22.19,11
291297,71.58,11,17.9,9
523810,85.01,14,30.23,15
556218,41.79,5,16.98,8
825067,56.51,8,8.6,4
872580,88.27,14,24.73,12
757223,54.98,7,20.07,10
600384,52.31,7,25.5,13
839671,59.37,8,20.61,10
262431,43.38,5,17.68,9
229506,72.71,11,8.13,4
911878,97,16,12.2,6
308934,86.67,14,18.81,9
683201,79.31,12,27.64,14
209202,76.75,12,18.18,9
287414,89.07,14,28.04,14
950445,85.02,14,22.49,11
841246,55.14,8,15.67,8
107474,49.77,6,19.71,10
397394,88.1,14,18.85,9
60353,70.35,11,17.37,9
806844,73.02,11,24.71,12
805853,59.6,8,12.52,6
595279,68.29,10,8.49,4
13119,62.79,9,35.48,18
855026,53.65,7,19.9,10
595173,68.04,10,8.34,4
243525,61.59,9,23.87,12
937221,71.69,11,15.83,8
773014,58.37,8,10.95,5
663959,80.58,13,6.84,3
581212,74.4,11,18.49,9
631002,85.24,14,12.01,6
576861,71.02,11,19.15,10
230955,50.45,7,25.95,13
548513,85.21,14,2.31,1
246505,63.84,9,16.58,8
388261,70.03,11,14.18,7
729740,84.64,13,17.45,9
230710,48.81,6,12.78,6
451278,61.66,9,19.78,10
652254,61.27,9,19.71,10
77349,74.31,11,17.89,9
41090,78.97,12,23.53,12
363920,43.6,5,3.81,2
791593,88.11,14,16.92,8
630060,60.29,9,23.58,12
987694,54.7,7,24.67,12
401724,69.24,10,37.68,19
956296,76.74,12,19.85,10
21860,67.18,10,10.39,5
579093,67.22,10,23.55,12
179184,70.01,11,21.4,11
950657,43.14,5,20.47,10
937809,49.29,6,22.09,11
545499,64.42,9,23.75,12
371445,77.93,12,18.74,9
62656,70.7,11,20.22,10
878326,67.58,10,12.3,6
572583,70.51,11,22.69,11
342724,64.97,9,24.32,12
399796,80.42,13,17.26,9
287313,80.55,13,13.5,7
574597,72.41,11,14.35,7
600861,77.05,12,13.37,7
916126,47.81,6,26.5,13
103325,57.72,8,21.76,11
451385,70.94,11,28.32,14
435384,72.58,11,6.49,3
296828,59.24,8,22.15,11
286964,77.49,12,18.05,9
189605,94.92,15,26.4,13
474741,83.31,13,16.75,8
319572,48.05,6,8.91,4
933091,64.63,9,18.75,9
338218,44.56,5,23.76,12
85850,73.97,11,27.64,14
71075,64.52,9,29.43,15
607022,53.6,7,13.8,7
985080,60.31,9,27.46,14
632587,61.18,9,2.62,1
410927,91.07,15,5.86,3
470808,65.59,10,12.23,6
488522,83.05,13,20.4,10
957634,49.81,6,14.08,7
258622,95.27,16,29.53,15
308097,43.58,5,5.76,3
236986,73.4,11,17.5,9
204878,50.33,7,31.47,16
135937,62.38,9,26.77,13
119705,64.92,9,27.38,14
689233,55.34,8,35.57,18
178316,89.7,14,22.05,11
896142,62.42,9,12.54,6
393250,50.16,7,20.38,10
895306,71.93,11,9.9,5
694000,84.36,13,13.29,7
718269,69.61,10,13.56,7
547736,78.61,12,34.75,17
107531,58.26,8,10.58,5
763410,94.61,15,21.54,11
415648,80.3,13,5.92,3
358233,74.17,11,16.72,8
83215,58.72,8,4.84,2
43933,61.22,9,17.63,9
889896,66.54,10,26.16,13
924406,69.65,10,21.61,11
376731,75.68,12,24.97,12
594664,72.33,11,10.27,5
967834,87.41,14,35.91,18
325696,72.46,11,15.35,8
118143,67.27,10,43.43,20
299081,84.81,13,15.15,8
982964,88.27,14,30.53,15
197911,59.4,8,15.81,8
216742,43.99,5,20.01,10
344469,60.58,9,16.08,8
135789,81.63,13,16.73,8
459421,51.89,7,18.26,9
416241,60.52,9,18.66,9
789455,65.03,10,20.13,10
623314,86.45,14,20.4,10
86879,69.45,10,33.12,17
453653,46.46,6,27.82,14
309734,69.74,10,32.12,16
561919,78.08,12,27.76,14
581620,76.19,12,10.67,5
291783,68.51,10,16.62,8
954072,67.35,10,28.53,14
554206,63.43,9,18.34,9
130451,46.09,6,18.67,9
203053,60.31,9,24.85,12
681962,45.1,6,14.32,7
645158,83.68,13,22.64,11
909299,66.74,10,36.87,18
694323,65.96,10,24.3,12
83833,33.54,3,14.64,7
660041,67.07,10,25.55,13
95990,99.28,16,23.75,12
486654,75.47,12,20.7,10
107823,55.37,8,36.47,18
486705,49.13,6,21.08,11
